pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr>70%,kvB<=4k,kp<=2k,0.7304,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,1.2407,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,1.2438,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,1.0852,3
16,n<=16,sr>70%,kvB<=4k,kp=0,1.4721,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.6097,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.1562,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.0723,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.741,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,0.3464,2
16,n<=2,sr<=70%,kvB<=16k,kp=0,0.9527,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.693,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,0.5837,2
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,0.5325,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.352,2
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.455,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.1259,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.0899,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.3455,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,0.7137,2
16,n<=2,sr<=70%,kvB<=4k,kp<=512,-0.0011,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.4305,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.8169,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.0619,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.0514,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0389,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0796,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.0349,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.0764,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.0583,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0525,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.0403,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0761,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0597,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.1044,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.0727,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0558,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.0704,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.085,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0547,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.1287,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.0805,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.0743,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.0707,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.1023,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.0552,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.1033,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.0717,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.0707,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.1224,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.0927,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.1449,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.1524,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.1208,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.1356,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,0.114,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.1872,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,0.0805,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.2331,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.0481,2
