prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,256,16,2048,546.327
16,256,16,4096,1016.63
16,256,16,8192,1978.82
16,256,16,16384,4331.11
16,256,32,16,109.238
16,256,32,32,111.488
16,256,32,64,113.803
16,256,32,128,165.547
16,256,32,256,227.02
16,256,32,512,358.839
16,256,32,1024,601.655
16,256,32,2048,1119.11
16,256,32,4096,2421.97
16,256,32,8192,5449.58
16,256,32,16384,10848.8
16,256,64,16,194.251
16,256,64,32,198.688
16,256,64,64,202.614
16,256,64,128,313.612
16,256,64,256,474.251
16,256,64,512,808.877
16,256,64,1024,1562.58
16,256,64,2048,3076.32
16,256,64,4096,6100.33
16,256,64,8192,12185.2
16,256,64,16384,24254.4
16,256,128,16,369.761
16,256,128,32,379.02
16,256,128,64,387.724
16,256,128,128,629.794
16,256,128,256,904.771
16,256,128,512,1588.83
16,256,128,1024,3090.55
16,256,128,2048,6105
16,256,128,4096,12141.5
16,256,128,8192,24240.7
16,256,128,16384,48360
16,512,0,0,25.12
16,512,1,16,24.9067
16,512,1,32,24.875
16,512,1,64,24.9173
16,512,1,128,24.8217
16,512,1,256,28.0003
16,512,1,512,28.8323
16,512,1,1024,43.3923
16,512,1,2048,75.0827
16,512,1,4096,136.15
16,512,1,8192,258.913
16,512,1,16384,504.322
16,512,2,16,33.963
16,512,2,32,34.0913
16,512,2,64,34.0587
16,512,2,128,37.9097
16,512,2,256,42.1443
16,512,2,512,49.3013
16,512,2,1024,77.344
16,512,2,2048,134.774
16,512,2,4096,212.31
16,512,2,8192,332.567
16,512,2,16384,581.165
16,512,4,16,39.6053
16,512,4,32,39.894
16,512,4,64,40.331
16,512,4,128,47.275
16,512,4,256,54.88
16,512,4,512,69.568
16,512,4,1024,110.731
16,512,4,2048,196.182
16,512,4,4096,312.727
16,512,4,8192,551.074
16,512,4,16384,1025.06
16,512,8,16,55.3177
16,512,8,32,55.9357
16,512,8,64,56.7043
16,512,8,128,65.7173
16,512,8,256,80.9073
16,512,8,512,109.643
16,512,8,1024,179.905
16,512,8,2048,309.185
16,512,8,4096,548.322
16,512,8,8192,1025.45
16,512,8,16384,2019.74
16,512,16,16,77.3013
16,512,16,32,78.5073
16,512,16,64,79.5953
16,512,16,128,102.752
16,512,16,256,131.446
16,512,16,512,190.156
16,512,16,1024,318.924
16,512,16,2048,569.261
16,512,16,4096,1038.97
16,512,16,8192,2082.04
16,512,16,16384,4500.35
16,512,32,16,119.66
16,512,32,32,121.43
16,512,32,64,123.425
16,512,32,128,174.359
16,512,32,256,232.353
16,512,32,512,370.892
16,512,32,1024,665.656
16,512,32,2048,1215.08
16,512,32,4096,2533.2
16,512,32,8192,5386.52
16,512,32,16384,10913.8
16,512,64,16,203.542
16,512,64,32,208.694
16,512,64,64,212.182
16,512,64,128,318.998
16,512,64,256,478.893
16,512,64,512,820.313
16,512,64,1024,1569.7
16,512,64,2048,3084.33
16,512,64,4096,6111.1
16,512,64,8192,12193.5
16,512,64,16384,24281.1
16,512,128,16,376.684
16,512,128,32,385.122
16,512,128,64,393.826
16,512,128,128,636.568
