prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,512,32,8192,13228.2
16,512,32,16384,26914.2
16,512,64,16,290.012
16,512,64,32,296.369
16,512,64,64,302.919
16,512,64,128,472.409
16,512,64,256,902.848
16,512,64,512,1859.62
16,512,64,1024,3669.32
16,512,64,2048,7318.52
16,512,64,4096,14582
16,512,64,8192,29144.9
16,512,64,16384,58209.3
16,512,128,16,547.225
16,512,128,32,559.449
16,512,128,64,575.193
16,512,128,128,1059.17
16,512,128,256,1928.87
16,512,128,512,3786.73
16,512,128,1024,7418.86
16,512,128,2048,14747.8
16,512,128,4096,29370.9
16,512,128,8192,58673.3
16,512,128,16384,117208
16,1024,0,0,41.2473
16,1024,1,16,51.8073
16,1024,1,32,51.914
16,1024,1,64,51.989
16,1024,1,128,59.0177
16,1024,1,256,66.1853
16,1024,1,512,72.97
16,1024,1,1024,76.4683
16,1024,1,2048,130.217
16,1024,1,4096,191.689
16,1024,1,8192,302.726
16,1024,1,16384,525.274
16,1024,2,16,57.504
16,1024,2,32,57.9723
16,1024,2,64,57.919
16,1024,2,128,68.0843
16,1024,2,256,73.3857
16,1024,2,512,80.9697
16,1024,2,1024,109.012
16,1024,2,2048,170.046
16,1024,2,4096,279.976
16,1024,2,8192,506.991
16,1024,2,16384,966.335
16,1024,4,16,72.5967
16,1024,4,32,73.045
16,1024,4,64,72.106
16,1024,4,128,82.3137
16,1024,4,256,90.676
16,1024,4,512,112.766
16,1024,4,1024,143.529
16,1024,4,2048,254.152
16,1024,4,4096,482.33
16,1024,4,8192,974.837
16,1024,4,16384,1928.5
16,1024,8,16,88.447
16,1024,8,32,89.5887
16,1024,8,64,90.0467
16,1024,8,128,110.398
16,1024,8,256,129.598
16,1024,8,512,172.073
16,1024,8,1024,246.322
16,1024,8,2048,442.949
16,1024,8,4096,976.33
16,1024,8,8192,2071.21
16,1024,8,16384,4505.33
16,1024,16,16,120.522
16,1024,16,32,121.673
16,1024,16,64,123.806
16,1024,16,128,164.104
16,1024,16,256,207.241
16,1024,16,512,290.599
16,1024,16,1024,460.422
16,1024,16,2048,1014.31
16,1024,16,4096,2817.4
16,1024,16,8192,5830.44
16,1024,16,16384,12214.6
16,1024,32,16,186.857
16,1024,32,32,190.579
16,1024,32,64,193.693
16,1024,32,128,272.146
16,1024,32,256,365.671
16,1024,32,512,597.743
16,1024,32,1024,1244.45
16,1024,32,2048,3240.27
16,1024,32,4096,6807.95
16,1024,32,8192,13575.5
16,1024,32,16384,27054
16,1024,64,16,313.458
16,1024,64,32,319.986
16,1024,64,64,326.567
16,1024,64,128,496.635
16,1024,64,256,938.465
16,1024,64,512,1902.05
16,1024,64,1024,3657.33
16,1024,64,2048,7319.36
16,1024,64,4096,14627.6
16,1024,64,8192,29137.7
16,1024,64,16384,58263.9
16,1024,128,16,570.97
16,1024,128,32,583.141
16,1024,128,64,601.519
16,1024,128,128,1091.15
16,1024,128,256,1956.02
16,1024,128,512,3807.78
16,1024,128,1024,7454.2
16,1024,128,2048,14780.3
16,1024,128,4096,29401.9
16,1024,128,8192,58703.5
16,1024,128,16384,117241
16,2048,0,0,69.856
16,2048,1,16,80.2663
16,2048,1,32,79.626
16,2048,1,64,79.9143
16,2048,1,128,86.7723
16,2048,1,256,93.5033
16,2048,1,512,107.38
16,2048,1,1024,129.065
16,2048,1,2048,135.86
16,2048,1,4096,247.88
16,2048,1,8192,368.711
16,2048,1,16384,607.577
16,2048,2,16,85.61
16,2048,2,32,86.2283
16,2048,2,64,86.8153
16,2048,2,128,96.1593
16,2048,2,256,106.506
16,2048,2,512,127.562
16,2048,2,1024,138.239
16,2048,2,2048,194.76
16,2048,2,4096,316.264
16,2048,2,8192,557.853
16,2048,2,16384,1027.8
16,2048,4,16,101.002
16,2048,4,32,101.237
16,2048,4,64,101.749
16,2048,4,128,121.354
16,2048,4,256,131.369
16,2048,4,512,148.649
16,2048,4,1024,197.875
16,2048,4,2048,262.163
16,2048,4,4096,486.407
16,2048,4,8192,982.573
16,2048,4,16384,1950.86
16,2048,8,16,128.351
16,2048,8,32,129.354
16,2048,8,64,129.258
16,2048,8,128,149.31
16,2048,8,256,177.353
16,2048,8,512,209.523
16,2048,8,1024,300.734
16,2048,8,2048,450.524
16,2048,8,4096,897.593
16,2048,8,8192,2307.21
16,2048,8,16384,4313.48
16,2048,16,16,163.274
16,2048,16,32,165.972
16,2048,16,64,167.081
16,2048,16,128,209.587
16,2048,16,256,251.944
16,2048,16,512,342.803
16,2048,16,1024,516.806
16,2048,16,2048,863.811
16,2048,16,4096,2657.45
16,2048,16,8192,5945.07
16,2048,16,16384,12336.5
16,2048,32,16,229.896
16,2048,32,32,234.11
16,2048,32,64,237.257
16,2048,32,128,317.278
16,2048,32,256,415.442
16,2048,32,512,666.811
16,2048,32,1024,1397.24
16,2048,32,2048,3042.29
16,2048,32,4096,6873.31
16,2048,32,8192,13666.5
16,2048,32,16384,27178
16,2048,64,16,358.45
16,2048,64,32,365.523
16,2048,64,64,371.901
16,2048,64,128,543.015
16,2048,64,256,1033.55
16,2048,64,512,1986.61
16,2048,64,1024,3746.9
16,2048,64,2048,7401.77
16,2048,64,4096,14630.1
16,2048,64,8192,29232.7
16,2048,64,16384,58274.6
16,2048,128,16,616.668
16,2048,128,32,629.734
16,2048,128,64,650
16,2048,128,128,1163.79
16,2048,128,256,2041.36
16,2048,128,512,3887.33
16,2048,128,1024,7512.54
16,2048,128,2048,14846.4
16,2048,128,4096,29446
16,2048,128,8192,58746.1
16,2048,128,16384,117315
16,4096,0,0,127.402
16,4096,1,16,135.53
16,4096,1,32,135.445
16,4096,1,64,135.604
16,4096,1,128,142.527
16,4096,1,256,149.396
16,4096,1,512,162.858
16,4096,1,1024,192.426
16,4096,1,2048,241.684
16,4096,1,4096,254.633
16,4096,1,8192,477.843
16,4096,1,16384,716.529
16,4096,2,16,142.121
16,4096,2,32,142.879
16,4096,2,64,142.869
16,4096,2,128,152.724
16,4096,2,256,163.252
16,4096,2,512,183.732
16,4096,2,1024,226.463
16,4096,2,2048,255.518
16,4096,2,4096,368.851
16,4096,2,8192,606.385
16,4096,2,16384,1090.81
16,4096,4,16,157.642
16,4096,4,32,158.57
16,4096,4,64,158.538
16,4096,4,128,178.153
16,4096,4,256,199.103
16,4096,4,512,239.197
16,4096,4,1024,275.316
16,4096,4,2048,372.19
16,4096,4,4096,494.899
16,4096,4,8192,952.635
16,4096,4,16384,1997.05
16,4096,8,16,184.586
16,4096,8,32,185.919
16,4096,8,64,187.498
16,4096,8,128,223.348
16,4096,8,256,252.297
16,4096,8,512,299.785
16,4096,8,1024,391.198
16,4096,8,2048,556.743
16,4096,8,4096,854.47
16,4096,8,8192,2199.85
16,4096,8,16384,4852.26
16,4096,16,16,239.796
16,4096,16,32,245.022
16,4096,16,64,245.919
16,4096,16,128,291.785
16,4096,16,256,335.603
16,4096,16,512,422.248
16,4096,16,1024,619.592
16,4096,16,2048,979.727
16,4096,16,4096,2282.75
16,4096,16,8192,6085.68
16,4096,16,16384,12394.5
16,4096,32,16,311.678
16,4096,32,32,315.892
16,4096,32,64,318.376
16,4096,32,128,406.377
16,4096,32,256,498.355
16,4096,32,512,806.641
16,4096,32,1024,1520.37
16,4096,32,2048,3290.64
16,4096,32,4096,6746.07
16,4096,32,8192,13595.2
16,4096,32,16384,27337.9
16,4096,64,16,448.082
16,4096,64,32,450.462
16,4096,64,64,459.315
16,4096,64,128,638.856
16,4096,64,256,1169.69
16,4096,64,512,2144.84
16,4096,64,1024,3920.18
16,4096,64,2048,7512.08
16,4096,64,4096,14684.3
16,4096,64,8192,29391.7
16,4096,64,16384,58558.3
16,4096,128,16,710.45
16,4096,128,32,725.32
16,4096,128,64,749.756
16,4096,128,128,1294.88
16,4096,128,256,2191.92
16,4096,128,512,4039.51
16,4096,128,1024,7661.95
16,4096,128,2048,14948.4
16,4096,128,4096,29568.6
16,4096,128,8192,58875.2
16,4096,128,16384,117429
16,8192,0,0,243.134
16,8192,1,16,246.964
16,8192,1,32,246.964
16,8192,1,64,247.647
16,8192,1,128,254.655
16,8192,1,256,260.767
16,8192,1,512,275.21
16,8192,1,1024,302.996
16,8192,1,2048,366.921
16,8192,1,4096,475.176
16,8192,1,8192,490.802
16,8192,1,16384,944.198
16,8192,2,16,255.348
16,8192,2,32,255.455
16,8192,2,64,255.124
16,8192,2,128,264.671
16,8192,2,256,275.465
16,8192,2,512,296.414
16,8192,2,1024,338.836
16,8192,2,2048,427.401
16,8192,2,4096,488.563
16,8192,2,8192,714.983
16,8192,2,16384,1194.49
16,8192,4,16,269.45
16,8192,4,32,269.737
16,8192,4,64,271.103
16,8192,4,128,291.828
16,8192,4,256,311.839
16,8192,4,512,352.425
16,8192,4,1024,436.083
16,8192,4,2048,537.96
16,8192,4,4096,715.41
16,8192,4,8192,959.154
16,8192,4,16384,1922.59
16,8192,8,16,298.324
16,8192,8,32,299.166
16,8192,8,64,300.745
16,8192,8,128,336.799
16,8192,8,256,375.828
16,8192,8,512,451.22
16,8192,8,1024,542.312
16,8192,8,2048,733.457
16,8192,8,4096,1070.39
16,8192,8,8192,1690.59
16,8192,8,16384,4846.79
16,8192,16,16,357.257
16,8192,16,32,359.562
16,8192,16,64,360.67
16,8192,16,128,436.585
16,8192,16,256,495.571
16,8192,16,512,600.658
16,8192,16,1024,843.633
16,8192,16,2048,1167.7
16,8192,16,4096,2608.79
16,8192,16,8192,5834.11
16,8192,16,16384,12445
16,8192,32,16,472.904
16,8192,32,32,477.043
16,8192,32,64,480.457
16,8192,32,128,572.616
16,8192,32,256,695.517
16,8192,32,512,1060.12
16,8192,32,1024,1858.51
16,8192,32,2048,3582.45
