pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=2,sr<=70%,kvB<=16k,kp=0,0.306,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,-0.0211,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.0531,2
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,-0.077,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.0731,2
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,-0.0574,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.3661,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.303,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.1873,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.038,2
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.3138,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,-0.008,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.2753,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.023,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.023,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0114,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0287,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.0176,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.0307,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.0336,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0312,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.0495,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0392,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.082,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.0599,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.0564,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0438,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.0623,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.0495,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0614,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.0889,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.0439,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.0461,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.0466,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.0623,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.0485,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.0657,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.1253,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.1488,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.2346,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.0789,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.2239,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.0893,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.1475,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.1766,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,0.1464,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.1158,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,0.1171,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.2173,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.0154,2
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.0164,2
16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.01,2
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.0179,2
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.0116,2
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.0238,2
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.0089,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.0054,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.0197,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.0173,2
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0214,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.0316,2
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.0218,2
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0191,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,0.0094,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.0222,2
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.0307,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.0545,2
16,n<=32,sr<=70%,kvB<=16k,kp<=1k,0.0984,2
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,0.1051,2
16,n<=32,sr<=70%,kvB<=16k,kp<=4k,0.0995,2
